model,rmse,mae,r2,notes,mse,mape
Persistence Baseline,0.00281,0.0016,0.1851,Naive baseline: y_hat(t+1) = gk_volatility(t). No training.,,
Linear Normal (scratch),0.0024741,0.00161493,0.3683,,6.12e-06,56.9687
Linear GD (scratch),0.00254509,0.00175385,0.3316,,6.48e-06,66.3923
Linear sklearn,0.0024741,0.00161493,0.3683,,6.12e-06,56.9687
MR Normal (scratch),0.0024741,0.00161493,0.3683,,6.12e-06,56.9687
MR GD (scratch),0.00254509,0.00175385,0.3316,,6.48e-06,66.3923
MR sklearn,0.0024741,0.00161493,0.3683,,6.12e-06,56.9687
"Poly Normal (scratch, deg=2)",0.00240905,0.00155153,0.4011,,5.8e-06,52.6607
Poly sklearn (deg=2),0.00240905,0.00155153,0.4011,,5.8e-06,52.6607
"Lasso (scratch, a=5e-02)",0.42979962,0.28054434,0.3683,,0.18472771,242.5019
"Lasso (sklearn, a=5e-02)",0.4306846,0.28388487,0.3657,,0.18548922,227.5707
"Ridge Normal (scratch, α=0.1)",0.42979997,0.28054489,0.3683,,0.18472801,242.502
"Ridge GD (scratch, α=0.1)",0.44302964,0.30763195,0.3288,,0.19627526,221.2705
Ridge sklearn (α=0.1),0.42979997,0.28054489,0.3683,,0.18472801,242.502
RF Scratch (n=20),0.42182919,0.26800013,0.3915,,0.17793987,236.8844
RF sklearn (n=100),0.42394502,0.2690449,0.3854,,0.17972938,231.8876
GB Scratch (lr=0.05),0.42862692,0.28483004,0.3718,,0.18372104,217.7109
GB sklearn (lr=0.05),0.42110821,0.26632965,0.3936,,0.17733213,233.077
